,# of Overlap Pathways,Family
363,11136,"C17H23O7, C18H23O9, C19H23O11, C19H25O12"
364,1820,"C17H23O7, C18H23O9, C19H23O11, C20H23O13"
365,207,"C17H23O7, C18H23O9, C18H25O10"
366,73,"C13H15O7, C14H15O9, C15H15O11"
367,233,"C19H17O10, C19H19O11"
368,82,"C18H11O13, C18H13O14"
369,295,"C15H19O8, C16H19O10"
370,46,"C19H19O9, C19H21O10, C19H23O11"
371,28,"C15H11O8, C15H13O9"
372,72,"C15H11O8, C16H11O10, C17H11O12"
373,69,"C19H21O10, C19H23O11, C20H23O13"
374,62,"C19H21O10, C19H23O11, C19H25O12"
375,410,"C16H13O10, C16H15O11"
376,29,"C18H19O8, C19H19O10, C20H19O12"
377,31,"C13H9O8, C14H9O10"
378,123,"C21H13O11, C21H15O12"
379,193,"C15H15O7, C16H15O9, C16H17O10, C17H17O12"
380,188,"C15H15O7, C16H15O9, C17H15O11, C18H15O13"
381,5,"C15H15O7, C15H17O8"
382,132,"C15H11O9, C15H13O10, C15H15O11"
383,253,"C18H11O11, C18H13O12, C19H13O14"
384,277,"C19H11O11, C19H13O12"
385,190,"C16H15O9, C16H17O10"
386,140,"C18H21O9, C19H21O11, C20H21O13"
387,125,"C17H15O10, C18H15O12, C19H15O14"
388,349,"C15H17O10, C16H17O12"
389,56,"C17H13O9, C18H13O11, C19H13O13"
390,102,"C19H21O11, C20H21O13"
391,456,"C21H25O11, C21H27O12"
392,14,"C18H21O8, C19H21O10, C20H21O12"
393,328,"C16H11O10, C17H11O12"
394,343,"C19H21O9, C19H23O10, C19H25O11, C20H25O13"
395,89,"C16H15O7, C17H15O9, C18H15O11"
396,85,"C16H15O7, C16H17O8"
397,539,"C16H13O11, C17H13O13"
398,111,"C17H15O9, C18H15O11"
399,15,"C13H7O8, C14H7O10"
400,84,"C19H13O13, C19H15O14"
401,9,"C16H19O7, C17H19O9, C18H19O11, C18H21O12"
402,31,"C16H11O8, C16H13O9, C17H13O11, C18H13O13"
403,68,"C16H11O8, C16H13O9, C17H13O11, C17H15O12"
404,160,"C16H11O8, C17H11O10, C18H11O12"
405,132,"C16H11O8, C17H11O10, C18H15O11, C19H15O13"
406,31,"C16H11O8, C17H11O10, C17H13O11, C18H13O13"
407,95,"C16H11O8, C17H11O10, C17H13O11, C17H15O12"
408,76,"C17H21O9, C17H23O10"
409,199,"C18H13O10, C18H15O11, C19H15O13"
410,269,"C18H13O10, C19H13O12, C19H15O13"
411,109,"C18H13O10, C19H13O12, C20H17O13"
412,21,"C14H13O7, C15H13O9, C16H13O11, C16H15O12"
413,21,"C14H13O7, C15H13O9, C15H15O10, C16H15O12"
414,21,"C14H13O7, C15H13O9, C15H15O10, C15H17O11"
415,21,"C14H13O7, C15H13O9, C16H17O10"
416,69,"C16H17O7, C17H17O9, C18H17O11"
417,3,"C14H15O6, C15H15O8, C16H15O10, C17H15O12, C17H17O13"
418,4,"C14H15O6, C15H15O8, C16H15O10, C17H19O11"
419,4,"C14H15O6, C15H15O8, C16H19O9, C17H19O11"
420,4,"C14H15O6, C15H15O8, C15H17O9, C15H19O10"
421,70,"C16H15O8, C16H17O9, C16H19O10"
422,157,"C16H15O8, C16H17O9, C17H17O11"
423,1,"C21H29O8, C22H29O10"
424,106,"C17H23O7, C17H25O8, C18H25O10"
425,184,"C17H23O7, C18H23O9, C19H23O11"
426,39,"C15H13O7, C16H13O9, C16H15O10, C17H15O12"
427,99,"C15H13O7, C16H13O9, C17H13O11, C18H13O13"
428,91,"C15H13O7, C16H13O9, C17H13O11, C17H15O12"
429,79,"C14H11O8, C15H11O10, C15H13O11, C16H13O13"
430,107,"C14H11O8, C15H11O10, C16H11O12"
431,83,"C14H11O8, C15H15O9, C16H15O11"
432,76,"C14H15O8, C15H15O10"
433,91,"C15H15O8, C16H19O9, C17H19O11"
434,240,"C20H23O10, C20H25O11"
435,173,"C17H19O7, C18H19O9, C19H19O11"
436,1,"C16H21O5, C17H21O7, C18H21O9, C18H23O10"
437,1,"C16H21O5, C17H21O7, C18H21O9, C19H21O11"
438,1,"C16H21O5, C17H21O7, C17H23O8, C18H23O10"
439,95,"C17H23O9, C17H25O10"
440,30,"C15H15O8, C15H17O9, C16H17O11"
441,49,"C15H15O8, C16H15O10, C17H15O12, C17H17O13"
442,37,"C15H15O8, C16H15O10, C17H19O11"
443,39,"C15H15O8, C16H15O10, C16H17O11"
444,252,"C16H19O8, C17H19O10, C18H19O12"
445,32,"C15H9O8, C16H9O10, C17H9O12"
446,32,"C15H9O8, C16H9O10, C16H11O11"
447,10,"C15H9O8, C15H11O9, C16H11O11, C16H13O12"
448,53,"C13H9O7, C14H9O9, C15H9O11"
449,77,"C13H9O7, C14H9O9, C14H11O10, C15H11O12"
450,5,"C13H9O7, C13H11O8, C14H11O10, C14H13O11"
451,5,"C13H9O7, C13H11O8, C14H11O10, C15H11O12"
452,48,"C14H11O8, C14H13O9, C15H13O11, C16H13O13"
453,4,"C14H11O8, C14H13O9, C14H15O10"
454,55,"C17H17O9, C18H17O11, C18H19O12, C18H21O13"
455,226,"C20H13O10, C21H13O12"
456,44,"C15H9O10, C16H9O12"
457,121,"C19H13O10, C19H15O11"
458,44,"C13H17O6, C14H17O8"
459,45,"C15H13O8, C15H15O9"
460,139,"C18H23O9, C19H23O11, C20H23O13"
461,160,"C18H23O9, C19H23O11, C19H25O12"
462,18,"C18H23O9, C18H25O10"
463,59,"C17H13O9, C17H15O10, C18H15O12"
464,67,"C14H17O7, C15H17O9, C15H19O10"
465,58,"C14H17O7, C14H19O8, C15H19O10"
466,6,"C13H15O6, C14H15O8, C14H17O9, C15H17O11"
467,6,"C13H15O6, C14H15O8, C15H15O10, C16H15O12"
468,6,"C13H15O6, C14H15O8, C15H15O10, C15H17O11"
469,154,"C16H13O8, C17H13O10, C18H13O12"
470,191,"C16H13O8, C17H13O10, C18H17O11"
471,191,"C20H21O9, C21H21O11"
472,157,"C15H13O8, C16H13O10, C16H15O11"
473,144,"C15H13O8, C15H15O9, C16H15O11"
474,120,"C15H13O8, C15H15O9, C15H17O10"
475,102,"C15H17O9, C16H17O11"
476,117,"C17H17O8, C18H17O10, C18H19O11, C18H21O12"
477,76,"C17H17O8, C18H17O10, C19H17O12, C19H19O13"
478,30,"C17H17O8, C17H19O9, C18H19O11, C18H21O12"
479,28,"C15H13O11, C15H15O12"
480,95,"C14H15O8, C14H17O9, C15H17O11"
481,140,"C14H15O8, C15H15O10, C15H17O11"
482,140,"C14H15O8, C15H15O10, C16H15O12"
483,18088,"C15H13O9, C15H15O10, C15H17O11"
484,18,"C13H19O6, C14H19O8"
485,46,"C19H25O9, C20H25O11"
486,3,"C16H15O6, C17H15O8, C17H17O9, C18H17O11"
487,3,"C16H15O6, C17H15O8, C18H15O10, C18H17O11"
488,2,"C16H15O6, C16H17O7, C17H17O9, C18H17O11"
489,67,"C20H11O11, C20H13O12"
490,325,"C19H15O10, C19H17O11, C19H19O12"
491,63,"C17H11O10, C18H15O11, C19H15O13"
492,24,"C14H15O9, C15H15O11, C15H17O12"
493,29,"C11H11O8, C12H11O10"
494,328,"C15H11O10, C16H11O12"
495,21,"C12H11O8, C13H11O10"
496,7,"C12H11O8, C12H13O9"
497,30,"C15H19O7, C15H21O8, C16H21O10"
498,32,"C15H19O7, C16H19O9, C16H21O10"
499,17,"C15H19O7, C16H19O9, C17H19O11"
500,206,"C16H17O8, C16H19O9, C17H19O11"
501,12,"C19H13O10, C19H15O11, C20H15O13"
502,8,"C13H15O7, C14H15O9, C14H17O10"
503,8,"C13H15O7, C13H17O8, C14H17O10"
504,23,"C15H17O9, C15H19O10"
505,6,"C17H13O9, C18H17O10"
506,31,"C14H15O7, C15H19O8, C16H19O10, C17H19O12"
507,13,"C14H15O7, C14H17O8, C15H17O10, C15H19O11"
508,54,"C14H15O7, C15H15O9, C16H19O10"
509,643,"C14H15O7, C15H15O9, C15H17O10, C15H19O11"
510,209,"C17H9O11, C17H11O12"
511,31,"C15H13O7, C16H13O9"
512,28,"C13H13O9, C13H15O10"
513,140,"C15H17O8, C16H21O9"
514,48,"C15H17O8, C16H17O10, C17H21O11"
515,126,"C18H15O12, C18H17O13"
516,47,"C19H23O8, C20H23O10, C21H23O12"
517,51,"C15H13O8, C16H13O10, C17H13O12, C17H15O13"
518,153,"C15H17O8, C15H19O9, C16H19O11"
519,182,"C15H17O8, C16H17O10, C16H19O11"
520,17,"C13H15O7, C14H15O9"
521,35,"C13H15O7, C13H17O8"
522,5,"C15H9O8, C15H11O9, C16H11O11"
523,77,"C18H11O10, C18H13O11, C19H13O13"
524,59,"C18H11O10, C19H11O12, C19H13O13"
525,56,"C13H9O9, C14H9O11"
526,137,"C14H9O9, C15H9O11"
527,35,"C18H19O9, C18H21O10, C19H21O12, C19H23O13"
528,44,"C16H17O7, C17H17O9, C17H19O10"
529,44,"C16H17O7, C16H19O8, C17H19O10"
530,50,"C16H17O7, C16H19O8, C16H21O9"
531,3,"C16H13O9, C17H13O11"
532,25,"C16H17O9, C16H19O10, C16H21O11"
533,16,"C16H13O9, C16H15O10, C17H15O12, C17H17O13"
534,32,"C16H13O9, C16H15O10, C17H15O12, C18H15O14"
535,46,"C20H17O9, C21H17O11"
536,31,"C20H17O9, C20H19O10"
537,35,"C16H21O7, C17H21O9, C18H21O11"
538,73,"C15H9O9, C15H11O10, C16H11O12"
539,188,"C17H19O7, C18H19O9, C19H23O10"
540,83,"C17H19O7, C18H19O9, C18H21O10"
541,28,"C17H19O8, C17H21O9"
542,18,"C21H21O9, C22H21O11"
543,96,"C16H13O8, C16H15O9, C16H17O10, C17H17O12"
544,116,"C19H15O10, C19H17O11"
545,54,"C20H23O9, C20H25O10"
546,28,"C16H15O8, C17H15O10"
547,41,"C19H17O9, C19H19O10, C19H21O11"
548,102,"C21H17O10, C22H17O12"
549,1408,"C15H17O7, C16H17O9, C16H19O10, C17H19O12"
550,2208,"C15H17O7, C16H17O9, C17H17O11, C17H19O12"
551,355,"C15H17O7, C15H19O8, C16H19O10, C17H19O12"
552,70,"C17H11O11, C17H13O12, C18H13O14"
553,61,"C14H9O8, C15H9O10"
554,36,"C14H11O8, C14H13O9"
555,90,"C16H17O8, C17H21O9"
556,28,"C20H27O10, C21H27O12"
557,86,"C19H23O8, C20H23O10, C20H25O11, C20H27O12"
558,116,"C16H17O8, C17H17O10, C17H19O11"
559,38,"C19H15O13, C19H17O14"
560,42,"C17H15O9, C18H15O11, C19H15O13, C19H17O14"
