,# of Overlap Pathways,Family
321,4238,"C19H23O9, C20H27O10, C21H27O12"
322,19047,"C19H23O9, C20H23O11, C21H27O12"
323,1971,"C12H13O8, C13H13O10"
324,26153,"C18H19O10, C19H19O12, C19H21O13"
325,30455,"C21H23O9, C22H23O11"
326,24159,"C18H21O9, C19H25O10"
327,17628,"C20H21O9, C21H25O10"
328,43227,"C17H21O9, C18H21O11"
329,9044,"C17H19O11, C17H21O12"
330,2416,"C14H11O11, C15H11O13"
331,12525,"C15H11O11, C16H11O13, C17H15O14"
332,15813,"C18H17O9, C19H17O11, C20H21O12"
333,7309,"C18H17O9, C19H17O11, C19H19O12"
334,4318,"C18H17O9, C19H21O10, C20H21O12"
335,58702,"C20H21O11, C20H23O12"
336,1305,"C20H9O12, C20H11O13"
337,2261,"C20H9O12, C21H13O13"
338,38859,"C19H19O10, C20H19O12"
339,17078,"C17H15O10, C18H15O12"
340,32237,"C17H13O12, C17H15O13"
341,4774,"C15H19O8, C16H19O10"
342,8083,"C16H19O8, C17H19O10, C18H19O12"
343,2211,"C19H23O9, C19H25O10, C20H25O12"
344,5454,"C19H23O9, C20H23O11, C20H25O12"
345,11947,"C16H15O10, C17H19O11, C18H19O13"
346,3756,"C14H13O10, C15H13O12, C16H13O14"
347,41398,"C16H13O11, C17H13O13, C17H15O14"
348,27364,"C17H17O10, C18H17O12, C19H21O13"
349,19492,"C16H19O8, C17H19O10, C18H23O11"
350,30166,"C19H13O13, C19H15O14"
351,14088,"C20H25O9, C21H25O11, C21H27O12"
352,39515,"C20H23O9, C21H27O10"
353,6681,"C15H15O9, C16H15O11, C16H17O12"
354,6689,"C15H15O9, C16H19O10, C17H19O12"
355,20267,"C20H27O9, C21H27O11"
356,39510,"C17H19O10, C18H19O12, C18H21O13"
357,5275,"C17H19O10, C18H23O11"
358,6615,"C19H17O11, C19H19O12, C19H21O13"
359,51643,"C22H19O11, C22H21O12"
360,18363,"C19H25O9, C20H25O11"
361,29117,"C18H23O9, C19H23O11"
362,94924,"C21H19O11, C21H21O12"
363,41173,"C18H13O12, C18H15O13"
364,640,"C20H21O9, C21H21O11"
365,339,"C20H21O9, C20H23O10"
366,1693,"C15H19O9, C16H19O11, C17H19O13"
367,5652,"C21H23O9, C21H25O10"
368,7798,"C21H23O9, C22H27O10"
369,39106,"C19H17O10, C20H21O11, C21H25O12"
370,2391,"C19H17O10, C19H19O11, C19H21O12"
371,12024,"C19H17O10, C19H19O11, C20H19O13"
372,24542,"C15H15O9, C16H15O11"
373,560,"C20H25O9, C20H27O10"
374,5666,"C20H13O11, C20H15O12"
375,16585,"C20H13O11, C21H13O13"
376,39551,"C20H23O10, C20H25O11"
377,4037,"C15H19O7, C16H19O8, C17H19O10, C18H23O11"
378,3769,"C15H19O7, C16H19O8, C17H19O10, C18H19O12"
379,1770,"C15H19O7, C16H19O9, C17H19O11, C18H23O12"
380,1927,"C15H19O7, C16H19O9, C17H19O11, C18H19O13"
381,3023,"C15H13O11, C16H17O12"
382,14895,"C17H11O12, C17H13O13, C18H13O15"
383,26895,"C17H19O9, C18H19O11, C19H19O13, C19H21O14"
384,6619,"C17H23O9, C18H23O11"
385,3058,"C15H15O10, C16H19O11, C17H19O13"
386,2684,"C15H15O10, C16H15O12, C16H17O13"
387,5890,"C15H15O10, C16H15O12, C17H19O13"
388,9992,"C15H15O10, C16H15O12, C17H15O14"
389,4164,"C20H21O9, C20H23O10, C21H23O12"
390,54211,"C16H15O11, C17H15O13"
391,7958,"C19H21O9, C20H25O10, C21H25O12"
392,5257,"C19H21O9, C19H23O10, C20H23O12, C20H25O13"
393,10195,"C19H21O9, C20H21O11, C20H23O12, C20H25O13"
394,17522,"C19H21O9, C20H21O11, C21H25O12"
395,22408,"C21H25O10, C21H27O11"
396,696,"C16H15O7, C17H15O9, C18H15O11, C19H19O12"
397,696,"C16H15O7, C17H15O9, C18H15O11, C19H15O13, C19H17O14"
398,17036,"C19H15O12, C19H17O13, C19H19O14"
399,8570,"C19H15O10, C19H17O11, C20H17O13"
400,10805,"C19H15O10, C20H19O11"
401,21112,"C21H21O10, C21H23O11"
402,7178,"C21H13O11, C22H17O12"
403,2539,"C21H13O11, C21H15O12"
404,6609,"C15H15O8, C16H15O10, C17H15O12, C18H15O14, C18H17O15"
405,10449,"C15H15O8, C16H15O10, C17H15O12, C18H19O13"
406,8897,"C14H13O9, C15H13O11, C16H13O13"
407,1476,"C17H9O13, C17H11O14"
408,21737,"C19H25O8, C20H25O10, C21H25O12"
409,15032,"C19H13O11, C20H13O13"
